path	line	kind	op	function	callee	when	note
evals/harness_lead.py	138	NOT:eval_result	copy	capture	shutil.copytree	n-a	captures post-run query catalog state into the harness result dir as catalog_after
evals/harness_lead.py	156	NOT:eval_case	read	main	.read_text	n-a	reads scenario's expect.json verdict spec
evals/harness_lead.py	158	NOT:eval_result	mkdir	main	.mkdir	n-a	mkdir results_lead top-level dir
evals/harness_lead.py	161	NOT:eval_case	write	main	shutil.rmtree	n-a	rmtree refused tmp dir, inside-repo safety check
evals/harness_lead.py	179	NOT:eval_case	write	main	shutil.rmtree	n-a	rmtree cleanup of materialized scenario tmp dir
evals/held_out.py	81	NOT:eval_case	read	load_held_out_fixtures	.read_text	n-a	reads held-out fixture's ground_truth.yaml label
evals/oracle_golden/audit_judge.py	100	NOT:eval_case	read	audit_set	.read_text	n-a	reads a case's expected.yaml hand labels
evals/oracle_golden/audit_judge.py	245	NOT:eval_case	read	verdict_set	.read_text	n-a	reads a case's manifest.yaml to check defective/derived status
evals/oracle_golden/audit_judge.py	248	NOT:eval_case	read	verdict_set	.read_text	n-a	reads a case's projections/<tag>.yaml oracle projection
evals/oracle_golden/audit_judge.py	250	NOT:eval_case	read	verdict_set	.read_text	n-a	reads a case's cached labels/<judge-tag>.json
evals/oracle_golden/audit_judge.py	417	NOT:eval_result	write	main	.write_text	n-a	writes the audit's JSON report to the --out path
evals/oracle_golden/controls.py	385	NOT:eval_case	read	_operation_window	.read_text	n-a	reads a case's manifest.yaml for its attack/operation window
evals/oracle_golden/controls.py	407	NOT:eval_case	read	lead_queries	.read_text	n-a	reads a case's oracle_visible/leads.jsonl for its queries
evals/oracle_golden/controls.py	475	NOT:eval_case	mkdir	main	.mkdir	n-a	mkdir per-lead dir before writing control window json
evals/oracle_golden/controls.py	476	NOT:eval_case	write	main	.write_text	n-a	writes one measured control record under hidden/controls/<lead_id>/<seq>.json
evals/oracle_golden/generate_case.py	100	NOT:eval_case	read	scenario_entry	.read_text	n-a	reads the playground-v2 attacks catalog.yaml to find a scenario entry
evals/oracle_golden/generate_case.py	321	NOT:eval_case	write	synthesise_alert	.write_text	n-a	writes the synthesised alert.json case input
evals/oracle_golden/generate_case.py	353	NOT:corpus	read	write_environment	.read_text	n-a	reads the environment_template.yaml template
evals/oracle_golden/generate_case.py	354	NOT:eval_case	write	write_environment	.write_text	n-a	writes the case's environment.yaml from the template
evals/oracle_golden/generate_case.py	363	NOT:eval_case	write	write_manifest	.write_text	n-a	writes the case's manifest.yaml
evals/oracle_golden/generate_case.py	485	NOT:eval_case	mkdir	_recruit	.mkdir	n-a	mkdir case_dir/.generate scratch dir while generating golden case
evals/oracle_golden/generate_case.py	491	NOT:eval_case	read	_recruit	.read_text	n-a	reads the playground-v2 runner record's metadata file for case generation
evals/oracle_golden/generate_case.py	514	NOT:eval_case	write	_recruit	.write_text	n-a	writes the case's controls.yaml provenance note
evals/oracle_golden/judge.py	95	NOT:corpus	read	prompts_sha8	.read_bytes	n-a	hashes the label/verdict prompt files
evals/oracle_golden/judge.py	165	NOT:eval_case	read	_payload_entry	.read_text	n-a	reads one observed payload under hidden/observed/<lead_id>
evals/oracle_golden/judge.py	206	NOT:eval_case	read	load_case_leads	.read_text	n-a	reads a case's oracle_visible/leads.jsonl
evals/oracle_golden/judge.py	251	NOT:eval_case	read	load_lead_inputs	.read_text	n-a	reads one control record under hidden/controls/<lead_id>
evals/oracle_golden/judge.py	263	NOT:eval_case	read	load_lead_inputs	.read_text	n-a	reads a case's environment.yaml
evals/oracle_golden/judge.py	272	NOT:eval_case	read	load_lead_inputs	.read_text	n-a	reads a case's oracle_visible/samples/<lead_id>.txt
evals/oracle_golden/judge.py	276	NOT:eval_case	read	load_lead_inputs	.read_text	n-a	reads a case's oracle_visible/story.md
evals/oracle_golden/judge.py	515	NOT:corpus	read	_pass	.read_text	n-a	reads the label or verdict judge prompt file
evals/oracle_golden/migrate_esql_encoding.py	202	NOT:eval_case	read	migrate_file	.read_bytes	n-a	reads one observed/controls JSON payload in the golden corpus to migrate
evals/oracle_golden/migrate_esql_encoding.py	224	NOT:eval_case	write	migrate_file	.write_text	n-a	rewrites that observed/controls JSON payload in place after migration
evals/oracle_golden/record_held_out.py	41	NOT:eval_case	read	main	.read_text	n-a	reads case's manifest.yaml to confirm split=held-out
evals/oracle_golden/record_held_out.py	56	NOT:eval_case	read	main	.read_bytes	n-a	reads case's scores/<tag>.json to record
evals/oracle_golden/record_held_out.py	66	NOT:eval_result	read	main	.read_text	n-a	reads held_out_ledger.yaml before appending a new entry
evals/oracle_golden/record_held_out.py	79	NOT:eval_case	read	main	.read_bytes	n-a	hashes the case's scores/<tag>.json being ledgered
evals/oracle_golden/record_held_out.py	85	NOT:eval_result	read	main	.read_text	n-a	reads held_out_ledger.yaml header text to preserve it on rewrite
evals/oracle_golden/record_held_out.py	86	NOT:eval_result	write	main	.write_text	n-a	appends the new entry, rewriting held_out_ledger.yaml
evals/oracle_golden/report.py	101	NOT:eval_case	read	load_golden_cases	.read_text	n-a	reads a case's manifest.yaml
evals/oracle_golden/report.py	104	NOT:eval_case	read	load_golden_cases	.read_text	n-a	reads a case's scores/*.json recorded scores
evals/oracle_golden/report.py	374	NOT:eval_result	mkdir	main	.mkdir	n-a	mkdir parent dir before writing rollup report json
evals/oracle_golden/report.py	375	NOT:eval_result	write	main	.write_text	n-a	writes the rollup report JSON to the --json out path
evals/oracle_golden/score.py	360	NOT:eval_case	read	measure_case	.read_text	n-a	reads a case's cached labels/<judge-suffix>.json
evals/oracle_golden/score.py	375	NOT:eval_result	mkdir	measure_case	.mkdir	n-a	mkdir parent dir before writing judge label cache
evals/oracle_golden/score.py	376	NOT:eval_case	write	measure_case	.write_text	n-a	writes the case's labels/<judge-suffix>.json label cache
evals/oracle_golden/score.py	425	NOT:eval_case	read	_measured	.read_text	n-a	reads a case's manifest.yaml
evals/oracle_golden/score.py	430	NOT:eval_case	read	_measured	.read_text	n-a	reads a case's projections/<tag>.yaml oracle projection
evals/oracle_golden/score.py	584	NOT:eval_case	read	forbidden_values	.read_text	n-a	reads a case's expected.yaml for its must_not_emit clause
evals/oracle_golden/score.py	728	NOT:eval_result	mkdir	main	.mkdir	n-a	mkdir parent dir before writing case score summary json
evals/oracle_golden/score.py	729	NOT:eval_case	write	main	.write_text	n-a	writes the score summary to case_dir/scores/<tag>.json
evals/oracle_golden/story_from_run.py	109	NOT:eval_case	read	main	.read_text	n-a	reads the playground-v2 attack runner's metadata file to render a story
evals/oracle_golden/story_from_run.py	121	NOT:eval_case	mkdir	main	.mkdir	n-a	mkdir parent dir before writing story.md for golden case
evals/oracle_golden/story_from_run.py	122	NOT:eval_case	write	main	.write_text	n-a	writes rendered story.md, an oracle_visible case input
evals/oracle_golden/validate_cases.py	80	NOT:eval_case	read	_leads_of	.read_text	n-a	reads a case's oracle_visible/leads.jsonl
evals/oracle_golden/validate_cases.py	106	NOT:eval_case	read	check_case	.read_text	n-a	reads a case's manifest.yaml
evals/oracle_golden/validate_cases.py	110	NOT:eval_case	read	check_case	.read_text	n-a	reads a case's oracle_visible/story.md
evals/oracle_golden/validate_cases.py	136	NOT:eval_case	read	load_known_defects	.read_text	n-a	reads the oracle_golden known_defects.yaml waiver registry
evals/oracle_golden/validate_cases.py	306	NOT:eval_case	read	control_problems_by_record	.read_text	n-a	reads one control record under hidden/controls
evals/oracle_golden/validate_cases.py	479	NOT:eval_case	read	check_environment	.read_text	n-a	reads a case's environment.yaml
evals/oracle_golden/validate_cases.py	531	NOT:eval_result	read	check_held_out_ledger	.read_text	n-a	reads held_out_ledger.yaml to check recorded entries
evals/oracle_golden/validate_cases.py	544	NOT:eval_case	read	check_held_out_ledger	.read_bytes	n-a	hashes a case's scores/<tag>.json to compare against the ledger
evals/oracle_golden/validate_cases.py	592	NOT:eval_case	read	coverage	.read_text	n-a	reads one control record under hidden/controls to tally live/dead
evals/oracle_golden/validate_cases.py	656	NOT:eval_case	read	main	.read_text	n-a	reads each case's manifest.yaml to index by id
hooks/_run_dir.py	28	budget,circuit_breaker	write	update_json_locked	defender._io.locked_for_rewrite	live	locked json state write: budget.json (budget_enforcer) and circuit_breaker.json (circuit_breaker.record_outcome:151)
hooks/_run_dir.py	33	budget,circuit_breaker,accounting	read	update_json_locked	.read	live	shared locked JSON read-modify-write read, used for budget/circuit_breaker/accounting sidecars
hooks/_run_dir.py	73	budget,accounting	read	read_json_locked	builtins.open	live	locked json state read: budget.json, and the accounting sidecar (budget_enforcer.py:213)
hooks/_run_dir.py	75	budget,circuit_breaker,accounting	read	read_json_locked	.read	live	shared locked JSON reader, used for budget/circuit_breaker/accounting sidecars
hooks/budget_enforcer.py	120	budget	write	_write_budget_atomic	defender._io.write_atomic	live	atomically rewrites budget.json with updated call counters
hooks/budget_enforcer.py	204	accounting	write	_write_accounting_failure	defender._io.write_atomic	live	atomically rewrites <run>.accounting_failures.json sidecar
hooks/budget_enforcer.py	217	accounting	write	_record_alias_refusal	defender._io.write_atomic	live	rewrites accounting sidecar, appending an alias-refusal entry
hooks/inject_system_skill_description.py	26	NOT:corpus	read	read_description	defender._io.read_text_soft	host	reads a system's skills/<system>/SKILL.md to get its description
hooks/record_lead.py	47	lead_claim	mkdir	claim_lead	defender._io.guarded_mkdir	live	creates gather_raw dir before writing the lead's claim sidecar
hooks/record_lead.py	63	lead_claim	write	claim_lead	os.open	live	exclusive-creates gather_raw/<lead>.lead.json claim sidecar
hooks/record_lead.py	83	lead_claim	unlink	claim_lead	os.unlink	live	removes the lead-claim sidecar after fdopen failed post-create
hooks/record_lead.py	97	lead_claim	unlink	claim_lead	os.unlink	live	removes the lead-claim sidecar after a write failure
learning/_pydantic_stage.py	62	NOT:corpus	read	build_stage_agent	.read_text	n-a	reads the stage's role prompt file before building the agent
learning/author/branch.py	115	NOT:repo	mkdir	start_batch	.mkdir	n-a	mkdir git worktree base dir for author batch
learning/author/branch.py	185	NOT:repo	write	cleanup	.unlink	n-a	unlink scrub verdict sidecar beside a removed author worktree
learning/author/branch.py	195	NOT:repo	write	revert_lesson_pr	shutil.rmtree	n-a	rmtree stale revert worktree before re-adding it
learning/author/branch.py	204	NOT:repo	mkdir	revert_lesson_pr	.mkdir	n-a	mkdir git worktree base dir for revert worktree
learning/author/drain.py	164	NOT:corpus	write	_put_back	.unlink	n-a	unlink an untracked non-lesson file put back under corpus dir
learning/author/drain.py	300	NOT:queue	read	retire	defender._io.read_jsonl_rows	n-a	reads queue rows to bump/retire by id
learning/author/drain.py	347	NOT:queue	append	_bump_rows	defender._io.append_jsonl	n-a	appends retired rows to a channel's graveyard file
learning/author/drain.py	428	NOT:queue	read	_tick	defender._io.read_jsonl_rows_report	n-a	reads a channel's queue file for this tick's batch
learning/author/drain.py	1054	NOT:corpus	write	_restore_unapproved_files	.unlink	n-a	unlink a corpus file the tick created, restoring pre-tick state
learning/author/drain.py	1056	NOT:corpus	read	_restore_unapproved_files	.read_bytes	n-a	reads a corpus file's bytes to check against tick-start snapshot
learning/author/drain.py	1057	NOT:corpus	write	_restore_unapproved_files	defender._io.guarded_mkdir	n-a	guarded_mkdir parent dir restoring a corpus file's pre-tick bytes
learning/author/drain.py	1058	NOT:corpus	write	_restore_unapproved_files	defender._io.write_guarded	n-a	restores an unapproved corpus file to its pre-tick bytes
learning/author/drain.py	1075	NOT:corpus	write	_restore_from_snapshot	defender._io.guarded_mkdir	n-a	guarded_mkdir parent dir restoring corpus file from tick snapshot
learning/author/drain.py	1076	NOT:corpus	write	_restore_from_snapshot	defender._io.write_guarded	n-a	restores a corpus file the repair spawn deleted, from snapshot
learning/author/drain.py	1117	NOT:queue	append	_append_gap_record	defender._io.append_jsonl	n-a	appends a durable gap-ledger record for a terminal forward-check finding
learning/author/drain.py	1210	NOT:corpus	read	_byte_identical_to_head	.read_bytes	n-a	reads a changed corpus file's raw bytes to compare against HEAD
learning/author/drain.py	1221	NOT:corpus	read	_cited_ids	defender._io.read_text_utf8	n-a	reads a corpus lesson file's frontmatter to find its cited queue ids
learning/author/drain.py	1240	NOT:corpus	read	_read_or_empty	defender._io.read_text_utf8	n-a	reads a corpus file's text, empty on failure
learning/author/drain.py	1355	NOT:queue	append	_retire_unkeyable	defender._io.append_jsonl	n-a	appends unkeyable rows to a channel's graveyard file
learning/author/drain.py	1442	NOT:queue	read	stuck_record_count	defender._io.read_jsonl_rows	n-a	counts records on a channel's stuck report
learning/author/drain.py	1458	NOT:queue	read	_record_stuck	defender._io.read_jsonl_rows	n-a	reads a channel's stuck report to fold consecutive-tick count
learning/author/drain.py	1475	NOT:queue	append	_record_stuck	defender._io.append_jsonl	n-a	appends a new stuck-tick record to a channel's stuck report
learning/author/drain.py	1491	NOT:corpus	read	_snapshot_corpus	.read_bytes	n-a	snapshots every corpus file's bytes at tick start
learning/author/drain.py	1562	NOT:corpus	write	_restore_corpus	.unlink	n-a	unlink a corpus file not in the pre-agent snapshot
learning/author/drain.py	1565	NOT:corpus	read	_restore_corpus	.read_bytes	n-a	reads a corpus file's current bytes to check against the snapshot
learning/author/drain.py	1566	NOT:corpus	write	_restore_corpus	defender._io.guarded_mkdir	n-a	guarded_mkdir parent dir restoring corpus file to snapshot bytes
learning/author/drain.py	1567	NOT:corpus	write	_restore_corpus	defender._io.write_guarded	n-a	restores a corpus file to its pre-agent snapshot bytes
learning/author/lessons/run.py	111	source_refs	read	disposition_for	.read_text	end	reads a cited run's source_refs.yaml normalized_disposition
learning/author/lessons/run.py	145	NOT:queue	mkdir	invoke_agent	.mkdir	n-a	mkdir host-side _pending queue dir before curator spawn
learning/author/questioner/run.py	151	NOT:queue	mkdir	invoke_agent	.mkdir	n-a	mkdir host-side _pending queue dir before curator spawn
learning/author/shared.py	157	NOT:corpus	mkdir	assert_clean_corpus_dir	.mkdir	n-a	mkdir corpus_dir before checking it is git-clean
learning/author/shared.py	304	NOT:queue	mkdir	invoke_repair	.mkdir	n-a	mkdir host-side _pending queue dir before repair curator spawn
learning/author/shared.py	457	NOT:queue	mkdir	write_disposition_report	.mkdir	n-a	mkdir host-side _pending queue dir before writing disposition report
learning/author/shared.py	461	NOT:queue	append	write_disposition_report	.open	n-a	appends a line naming what a tick declined, beside _pending
learning/author/verify_forward/checks.py	72	forward_check_trace	names	_verify		end	names the forward-check verifier's wire trace written into <cited_run_dir>/wire_logs/<prefix>.<stem>.<n>.trace.jsonl, the CITED run's own dir
learning/author/verify_forward/forward.py	30	source_refs	read	load_run_context	.read_text	end	reads a cited case's source_refs.yaml disposition for forward-check
learning/author/verify_forward/forward.py	37	investigation	read	load_run_context	.read_text	end	reads a cited case's investigation.md transcript for forward-check
learning/branch/archive.py	117	family_stamp	read	read_family_stamp	.read	later	bound.read of provenance.json, the episode-root family stamp
learning/branch/archive.py	265	archive_proj	write	_screen_destinations	.unlink	later	unlink stale occupant at a worlds/<X>/ archive destination name
learning/branch/archive.py	309	archive_proj	write	archive_episode	defender._io.guarded_mkdir	later	guarded_mkdir the worlds/<X> archive destination dir before copying
learning/branch/archive.py	314	archive_proj	copy	archive_episode	shutil.copy2	end	copies a sibling's seven single-file roles into worlds/<label>/
learning/branch/archive.py	330	archive_proj	copy	archive_episode	shutil.copytree	end	copies gather_summaries/ into worlds/<label>/gather_summaries
learning/branch/archive.py	347	archive_proj	write	archive_episode	defender._io.write_guarded	end	writes the worlds/<label>/ text pointer naming the source run dir
learning/branch/capture.py	133	served	append	prime_base	defender._io.append_jsonl	host	appends primed family-tier rows into the episode's served/base.jsonl
learning/branch/capture.py	180	gather_raw	read	_captured_call	defender._io.read_text_soft	host	reads the source run's captured payload to prime the base
learning/branch/cli.py	302	served	write	prepare_episode	defender._io.guarded_mkdir	later	guarded_mkdir episode served/ dir before priming
learning/branch/cli.py	305	priming_lock	write	prepare_episode	os.open	host	creates served/.priming lock (<episode>/served/.priming) so only one launcher primes an episode; cleared by hand after a crashed launcher
learning/branch/cli.py	339	served	write	prepare_episode	defender._io.write_guarded	host	writes an empty served/base.jsonl when the source captured nothing
learning/branch/cli.py	350	priming_lock	write	prepare_episode	.unlink	later	unlink served/.priming claim on every prime exit
learning/branch/cli.py	707	episode_runs	mkdir	start_family	defender._io.guarded_mkdir	host	creates <episode>/runs/ for the siblings
learning/branch/cli.py	776	scrub_verdict	read	_scrub_ran	.read_text	end	reads a sibling run's scrub-verdict sidecar to check the reap scan ran
learning/branch/cli.py	1039	archive_proj	mkdir	verify_family	defender._io.guarded_mkdir	end	creates <episode>/worlds/ before archiving
learning/branch/cli.py	1101	family_stamp	write	_write_family_stamp	defender._io.write_guarded	end	writes the episode's family stamp provenance.json
learning/branch/cli.py	1409	staged	write	_run_episode	defender._io.write_guarded	host	creates the empty staged.yaml comment header before any name is staged
learning/branch/cli.py	1429	archive_proj	write	_run_episode	defender._io.guarded_mkdir	later	guarded_mkdir episode worlds/ dir after a rejected episode
learning/branch/cli.py	1586	samples	write	write_questioner_samples	defender._io.write_guarded	host	writes the episode's samples.yaml corpus-sample document
learning/branch/cli.py	1725	investigation	read	_fence_count	.read_text	host	reads the source run's investigation.md to count fences at the branch point
learning/branch/cli.py	1764	alert	read	_alert_document	.read_text	host	reads the source run's alert.json for the questioner prompt
learning/branch/episode.py	102	review_yaml	read	_recorded_outcome	.read	later	bound.read of review.yaml for the episode's recorded outcome
learning/branch/episode.py	152	archive_proj	read	_archived_labels	.entries	later	entries listing of episode worlds/ dir for archived world labels
learning/branch/episode.py	214	report	read	_verdicts	.read	later	bound.read of worlds/<label>/report.md verdict headline
learning/branch/episode.py	288	served	read	_answers	defender._io.read_jsonl_rows	end	reads a world's or base served ledger file into a key-to-answer map
learning/branch/ledger.py	102	served	names	<module>		live	names the family's base.jsonl capture filename under served/
learning/branch/ledger.py	338	served	names	for_world		live	builds served/<world_id>.jsonl path for a sibling's own ledger
learning/branch/ledger.py	361	served	write	declare	.mkdir	later	mkdir served/ parent dir declaring a world's empty ledger file
learning/branch/ledger.py	362	served	append	declare	.open	host	creates the sibling's empty served/<world_id>.jsonl ledger at world setup
learning/branch/ledger.py	450	served	read	_absorb	defender._io.read_jsonl_rows	host	folds base/world served rows into the in-memory memo
learning/branch/ledger.py	526	served	append	record	defender._io.append_jsonl	live	appends one served call's row to the sibling's own ledger during the run
learning/branch/questioner/__init__.py	157	NOT:corpus	read	_prompt	.read_text	n-a	reads a shipped questioner prompt file
learning/branch/questioner/__init__.py	262	NOT:corpus	read	_questioner_lessons_section	defender._io.read_text_utf8	n-a	reads a defender/lessons-questioner/ candidate lesson file
learning/branch/questioner/__init__.py	513	investigation	read	read_frontier	defender._io.read_guarded	host	reads the source run's investigation.md to build the questioner's frontier prefix
learning/branch/review.py	134	NOT:tmp	read	base_rows	defender._io.read_jsonl_rows	n-a	reads the review's scratch base file outside the episode
learning/branch/review.py	153	NOT:tmp	mkdir	scratch_ledger	.mkdir	n-a	mkdir served/ under a fresh host scratch temp tree for replay
learning/branch/review.py	161	NOT:tmp	write	scratch_ledger	.write_text	n-a	creates an empty scratch base file for the review replay
learning/branch/review.py	297	served	read	review	defender._io.read_jsonl_rows_report	live	reads the episode's real served/base.jsonl capture to find drifted keys
learning/branch/review.py	320	NOT:tmp	write	review	shutil.rmtree	n-a	rmtree the review replay's scratch temp tree
learning/branch/seams.py	77	stage_trace	names	model_seam	.replace	host	names the episode wire_logs trace file for the questioner's LLM call
learning/branch/staging.py	376	staged	read	read_staged	.read	later	bound.read of episode staged.yaml record
learning/branch/staging.py	414	staged	write	record_staged	defender._io.guarded_mkdir	later	guarded_mkdir episode dir before appending a staged.yaml row
learning/branch/staging.py	419	staged	append	record_staged	defender._io.open_guarded	host	appends one durable, fsynced row to the episode's staged.yaml
learning/branch/staging.py	606	review_yaml	read	merge_review	.read_text	end	reads existing review.yaml before merging a new block
learning/branch/staging.py	616	review_yaml	write	merge_review	defender._io.guarded_mkdir	later	guarded_mkdir parent dir before rewriting merged review.yaml
learning/branch/staging.py	617	review_yaml	write	merge_review	defender._io.write_guarded	end	writes the merged review.yaml document
learning/branch/timing.py	96	timing	write	record	defender._io.write_guarded	live	rewrites the episode's timing.json after each completed step
learning/branch/timing.py	149	timing	read	read_stage_timings	.read	later	bound.read of episode timing.json recorded steps
learning/core/config.py	282	NOT:queue	names	for_batch		n-a	names the corpus-curator's wire trace under <state_root>/_pending/wire_logs/<batch_id>.<pid>.trace.jsonl; written by run_stage's RequestLogger, operator-debug only reader
